"old_file","old_fqcn","new_file","new_fqcn","symbol_type","business_domain","registration_type","external_reference_count"
"vendor/dtyq/super-magic-module/src/Interfaces/Skill/Facade/Admin/OrganizationAdminSkillApi.php","Dtyq\SuperMagic\Interfaces\Skill\Facade\Admin\OrganizationAdminSkillApi","app/Interfaces/Admin/SuperMagic/Skill/OrganizationAdminSkillApi.php","App\Interfaces\Admin\SuperMagic\Skill\OrganizationAdminSkillApi","class","Skill","RouteHandler","0"
"vendor/dtyq/super-magic-module/src/Interfaces/Skill/Facade/SkillApi.php","Dtyq\SuperMagic\Interfaces\Skill\Facade\SkillApi","app/Interfaces/SuperMagic/Skill/Facade/SkillApi.php","App\Interfaces\SuperMagic\Skill\Facade\SkillApi","class","Skill","RouteHandler","0"
"vendor/dtyq/super-magic-module/src/Interfaces/Skill/Facade/SkillCollaboratorApi.php","Dtyq\SuperMagic\Interfaces\Skill\Facade\SkillCollaboratorApi","app/Interfaces/SuperMagic/Skill/Facade/SkillCollaboratorApi.php","App\Interfaces\SuperMagic\Skill\Facade\SkillCollaboratorApi","class","Skill","RouteHandler","0"
"vendor/dtyq/super-magic-module/src/Interfaces/Skill/Facade/SkillMarketApi.php","Dtyq\SuperMagic\Interfaces\Skill\Facade\SkillMarketApi","app/Interfaces/SuperMagic/Skill/Facade/SkillMarketApi.php","App\Interfaces\SuperMagic\Skill\Facade\SkillMarketApi","class","Skill","RouteHandler","0"
"vendor/dtyq/super-magic-module/src/Interfaces/Skill/FormRequest/SkillQueryFormRequest.php","Dtyq\SuperMagic\Interfaces\Skill\FormRequest\SkillQueryFormRequest","app/Interfaces/SuperMagic/Skill/FormRequest/SkillQueryFormRequest.php","App\Interfaces\SuperMagic\Skill\FormRequest\SkillQueryFormRequest","class","Skill","ordinary","0"
"vendor/dtyq/super-magic-module/src/Interfaces/SuperAgent/Assembler/OpenMessageScheduleAssembler.php","Dtyq\SuperMagic\Interfaces\SuperAgent\Assembler\OpenMessageScheduleAssembler","app/Interfaces/SuperMagic/Message/Assembler/OpenMessageScheduleAssembler.php","App\Interfaces\SuperMagic\Message\Assembler\OpenMessageScheduleAssembler","class","Message","ordinary","0"
"vendor/dtyq/super-magic-module/src/Interfaces/SuperAgent/Assembler/TopicTaskMessageAssembler.php","Dtyq\SuperMagic\Interfaces\SuperAgent\Assembler\TopicTaskMessageAssembler","app/Interfaces/SuperMagic/Message/Assembler/TopicTaskMessageAssembler.php","App\Interfaces\SuperMagic\Message\Assembler\TopicTaskMessageAssembler","class","Message","ordinary","0"
"vendor/dtyq/super-magic-module/src/Interfaces/SuperAgent/DTO/Request/AudioMarkerListRequestDTO.php","Dtyq\SuperMagic\Interfaces\SuperAgent\DTO\Request\AudioMarkerListRequestDTO","app/Interfaces/SuperMagic/File/DTO/Request/AudioMarkerListRequestDTO.php","App\Interfaces\SuperMagic\File\DTO\Request\AudioMarkerListRequestDTO","class","File","ordinary","0"
"vendor/dtyq/super-magic-module/src/Interfaces/SuperAgent/DTO/Request/BatchCopyFileRequestDTO.php","Dtyq\SuperMagic\Interfaces\SuperAgent\DTO\Request\BatchCopyFileRequestDTO","app/Interfaces/SuperMagic/File/DTO/Request/BatchCopyFileRequestDTO.php","App\Interfaces\SuperMagic\File\DTO\Request\BatchCopyFileRequestDTO","class","File","ordinary","0"
"vendor/dtyq/super-magic-module/src/Interfaces/SuperAgent/DTO/Request/BatchDeleteFilesRequestDTO.php","Dtyq\SuperMagic\Interfaces\SuperAgent\DTO\Request\BatchDeleteFilesRequestDTO","app/Interfaces/SuperMagic/File/DTO/Request/BatchDeleteFilesRequestDTO.php","App\Interfaces\SuperMagic\File\DTO\Request\BatchDeleteFilesRequestDTO","class","File","ordinary","0"
